1.767619048	O
2.581768707	k
3.404625850	o
4.166530612	n
4.967619048	O
5.746938776	k
6.504489796	o
7.283809524	n
8.054421769	O
8.872925170	k
9.630476190	o
10.401088435	n
11.136870748	O
11.863945578	k
12.595374150	o
13.400816327	n
14.123537415	O
14.885442177	k
15.625578231	o
16.309115646	n
17.075374150	O
17.889523810	k
18.542585034	o
19.326258503	n
20.066394558	O
20.850068027	k
21.625034014	o
22.273741497	n
23.048707483	O
23.801904762	k
24.602993197	o
25.321360544	n
26.135510204	O
26.845170068	k
27.668027211	o
28.312380952	n
29.043809524	O
29.783945578	k
30.558911565	o
31.207619048	n
32.065306122	O
32.827210884	k
33.567346939	o
34.268299320	n
34.986666667	O
35.678911565	k
36.419047619	o
37.102585034	n
37.847074830	O
38.552380952	k
39.331700680	o
39.967346939	n
40.724897959	O
41.438911565	k
42.122448980	o
42.871292517	n
43.502585034	O
44.220952381	k
44.904489796	o
45.553197279	n
46.245442177	O
46.959455782	k
47.590748299	o
48.256870748	n
48.927346939	O
49.702312925	k
50.351020408	o
51.143401361	n
